EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;24/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;25/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;09/01/11;0;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;10/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;16/01/11;0;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;23/01/11;0;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;24/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;25/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;25/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUDROGUERIA;CR 20 #50 74;SUDROG01;27/01/11;3;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;21/01/11;5;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;22/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;23/01/11;6;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;24/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;25/01/11;5;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;26/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;27/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;04/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;05/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;06/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;07/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;08/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;10/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;11/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;12/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;13/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;14/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;15/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;17/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;18/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
